"Value Research Online"
"Date: 27-Dec-2015 16:22"
"Company","Sector","Industry","ROE (%)","Operating Margin (%)","Free Cash Flow (Cr)","Debt Equity Ratio","Long-term Debt (Cr)","Networth (Cr)"
"Vakrangee Ltd.","Technology","Computer Software","39.92","26.22","-94.63","0.44","416.04","1207.34"
"Valuemart Info Technologies Ltd","Technology","Computer Software","1.31","20.81","-3.65","0.06","1.54","27.26"
"VCU Data Management Ltd.","Technology","Computer Software","3.48","55.28","0.2","0","0","27.08"
"VEDAVAAG Systems Ltd.","Technology","Computer Software","9.5","18.91","-5.18","0","0","32.91"
"Venus Power Ventures (India) Ltd.","Technology","Computer Software","1.97","3.33","0.05","0.01","0.14","23.16"
"Vertex Spinning Ltd.","Technology","Computer Software","-20.32","-16.41","0","2.4","25.5","252.06"
"Vintron Informatics Ltd.","Technology","Computer Hardware","2.88","6.47","0.21","1.25","10.15","8.1"
"Virgo Global Media Ltd.","Technology","Computer Software","3.83","24.72","0.01","0","0","0.62"
"Virinchi Technologies Ltd.","Technology","Computer Software","8.33","17.7","9.44","0.29","31.07","107.11"
"Virtualsoft Systems Ltd.","Technology","Computer Software","0","-54.03","-5.99","-5.79","20.87","-3.6"
"Visesh Infotecnics Ltd.","Technology","Computer Software","-0.48","-0.46","0.34","0.07","31.71","445.89"
"Visu International Ltd","Technology","Computer Software","-28.79","-3.05","0.28","6.85","15.49","2.26"
"VJIL Consulting Ltd.","Technology","Computer Software","0","10.05","-0.12","-0.3","2.79","-9.2"
"VXL Instruments Ltd.","Technology","Computer Hardware","0","1.04","-9.32","-1.46","3.96","12.4"
"Wipro Ltd.","Technology","Computer Software","25.22","27.15","7883.03","0.21","7891.2","37092"
"Women Networks Ltd.","Technology","Computer Software","0.22","5.66","0.15","0","0","6.1"
"Xchanging Solutions Ltd.","Technology","Computer Software","8.62","8.5","-0.25","0.01","2.12","304.26"
"XO Infotech Ltd.","Technology","Computer Hardware","-0.27","0","-7.23","1.03","26.53","25.73"
"Zen Technologies Ltd.","Technology","Computer Software","15.03","33.38","-31.96","0.36","39.75","110.99"
"Zenith Computers Ltd.","Technology","Computer Hardware","0","-103.96","-11.02","-1.45","93.91","-64.63"
"Zenith Infotech Ltd.","Technology","Computer Software","-107.89","-52.52","-65.52","4.38","309.99","70.7"
"Zensar Technologies Ltd.","Technology","Computer Hardware","25.19","15.76","307.21","0.15","175.57","1156.98"
"Zigma Software Ltd.","Technology","Computer Software","-0.52","7.99","-0.95","0.01","0.53","77.62"
"Zylog Systems Ltd.","Technology","Computer Software","-545.17","3.07","-116.24","-5.83","1032.91","-181.33"
