"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","Price","PriceDate","52-Week High","52-Week Low","P/E","P/B","Dividend Yield (%)","Enterprise Value / Ebidta","Price / Sales","Price / Cash Flow"
"Kellton Tech Solutions Ltd.","Technology","Computer Software","179.9","Dec 24, 2015","197","30","27.44","10.47","0","18.8","2.56","70.57"
"Kernex Microsystems (India) Ltd.","Technology","Computer Software","52.2","Dec 24, 2015","67","32.35","0","0.59","0","-12.44","3.06","-11.38"
"KLG Systel Ltd.","Technology","Computer Software","3.87","Dec 27, 2013","-","-","0","0.04","0","-11.52","0.2","0.21"
"Koa Tools India Ltd.","Technology","Computer Software","0.2","Dec 18, 2015","1.25","0.2","0","0.17","0","-7.26","1.81","13.92"
"KPIT Technologies Ltd.","Technology","Computer Software","167.85","Dec 24, 2015","232.4","85.05","14.13","2.32","0.65","13.85","2.66","11.45"
"LCC Infotech Ltd.","Technology","Computer Software","0.25","Dec 24, 15:19","0.65","0.15","0","0.01","0","-165.36","0.29","35.64"
"Lee & Nee Softwares (Exports) Ltd.","Technology","Computer Software","3.12","Dec 24, 2015","3.9","2","0","0.33","0","-859.22","12.27","1.88"
"Luminaire Technologies Ltd.","Technology","Computer Hardware","0.19","Dec 24, 2015","3.19","0.19","0","0.22","0","-476.87","39.05","-96.82"
"Lycos Internet Ltd.","Technology","Computer Software","31.65","Dec 24, 2015","47.2","19.1","4.05","0.86","0","2.39","0.72","5.47"
"Maars Software International Ltd.","Technology","Computer Software","0.26","Mar 20, 2013","-","-","0","0.03","0","-25.4","-","-"
"Magnum Ltd.","Technology","Computer Software","5.18","Dec 02, 2015","5.75","2.71","0","1.62","0","-0.74","-","-10.68"
"Mahaveer Infoway Ltd.","Technology","Computer Software","5.75","Oct 06, 2015","7.92","2.55","6.6","0.54","0","7.47","0.05","1.48"
"Majesco Ltd.","Technology","Computer Software","638.6","Dec 24, 2015","708.8","286.8","0","5.65","0","-","-","139.05"
"Mangalya Soft-Tech Ltd.","Technology","Computer Software","1.6","Oct 23, 2015","2.3","1.6","400","0.14","0","132.02","18.82","212.75"
"Mastek Ltd.","Technology","Computer Software","190.8","Dec 24, 2015","512.6","135.85","19.67","1.36","1.31","3.6","0.55","7.41"
"Mega Corporation Ltd.","Technology","Computer Software","0.46","Dec 24, 2015","0.46","0.12","18.33","0.18","0","7.79","5.13","-0.93"
