"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","1-Year Revenue Growth","1-Year EPS Growth","1-Year Book Value Growth","3-Year Revenue Griowth","3-Year EPS Growth","3 Year Book Value Growth","5 Year Revenue Growth","5-Year EPS Growth","5 Year Book Value Growth"
"Intellvisions Software Ltd.","Technology","Computer Software","-3.48","15.83","0.6","12.75","65.27","-7.82","6.41","-18.23","-4.62"
"Intense Technologies Ltd.","Technology","Computer Software","8.45","-39.52","13.23","31.35","38.17","19.55","36.23","24.11","11.12"
"Interworld Digital Ltd","Technology","Computer Software","-15.01","-75.26","-0.11","7.46","-53.1","-4.18","8.28","-36.58","-2.38"
"Intrasoft Technologies Ltd.","Technology","Computer Software","131.07","189.6","2.72","72.96","-18.44","-9.87","63.66","-12.75","9.71"
"IZMO Ltd.","Technology","Computer Software","15.14","-718.8","-2.84","0.03","-198.06","0.71","-1.71","-229.57","1.53"
"Jetking Infotrain Ltd.","Technology","Computer Hardware","-10.88","-11.37","3.13","-8.23","1.85","4.83","-10.6","-25.1","6.31"
"Jointeca Education Solutions Ltd.","Technology","Computer Software","195.92","206.82","-1.68","-","-","-","-","-","-"
"Just Dial Ltd.","Technology","Computer Software","27.86","14.56","22.67","31.05","25.05","66.4","35.13","38.64","48.89"
"Kaashyap Technologies Ltd","Technology","Computer Software","-55.77","-77.9","-4.64","-31.38","-181.9","-10.08","-","14.48","-32.69"
"Kanika Infotech Ltd.","Technology","Computer Software","-93.91","-1210.2","-2.54","-65.36","-334.85","-0.71","-44.98","-240.32","-0.4"
"Kellton Tech Solutions Ltd.","Technology","Computer Software","17.92","49.37","19.15","41.33","25.31","22.18","111.53","46.95","6.48"
"Kernex Microsystems (India) Ltd.","Technology","Computer Software","-34.58","-499.86","-10.84","-23.65","-245.19","-3.96","34.77","-26.17","-1.15"
"KLG Systel Ltd.","Technology","Computer Software","-58.97","-413.49","-20.06","-28.59","-197.8","1.44","14","-246.97","22.61"
"Koa Tools India Ltd.","Technology","Computer Software","-34.23","-400","-0.3","-17.62","-129.21","18.63","-7.03","-214.87","-5.63"
"KPIT Technologies Ltd.","Technology","Computer Software","10.98","-6.11","0.24","25.85","15.55","19.8","32.52","18.21","22.9"
"LCC Infotech Ltd.","Technology","Computer Software","9.8","17.39","-0.2","-0.85","-207.72","-0.61","-11.38","-231.67","-0.29"
"Lee & Nee Softwares (Exports) Ltd.","Technology","Computer Software","-15.48","-46.67","-0.04","-17.78","-52.36","0","16.32","-49.96","0.13"
"Luminaire Technologies Ltd.","Technology","Computer Hardware","-","-249.3","-2.35","-","19.72","87.51","-","14.34","21.08"
"Lycos Internet Ltd.","Technology","Computer Software","16.95","54.88","31.98","15.71","21.29","20.28","38.47","-10.98","-7.91"
"Maars Software International Ltd.","Technology","Computer Software","-","-","-","-29.25","-525.73","-3.78","-26.42","-206.39","-3.17"
"Magnum Ltd.","Technology","Computer Software","-","-52673.72","-71.72","-","-541.8","-33.88","-","-320.36","-22.27"
"Mahaveer Infoway Ltd.","Technology","Computer Software","-22.48","-12.2","2.47","33.8","-7.82","3.03","22.39","3.5","3.67"
"Majesco Ltd.","Technology","Computer Software","-","383222.5","499141.3","-","-","-","-","-","-"
"Mangalya Soft-Tech Ltd.","Technology","Computer Software","-2.93","-14.07","0.01","3.39","53.47","0.02","4.74","15.39","-0.05"
"Mastek Ltd.","Technology","Computer Software","9.7","-66.35","4.31","-","-","-","-","-","-"
"Mega Corporation Ltd.","Technology","Computer Software","146.81","153.77","1.6","-10.6","31.41","-1.35","-31.1","29.63","-2.56"
"Megasoft Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-"
"Megri Soft Ltd.","Technology","Computer Software","-20.43","-15.24","10.62","-19.6","-8.26","16.47","6.33","8.92","21.45"
"Melstar Information Technologies Ltd.","Technology","Computer Software","20.23","31.6","-19.98","-25.25","-203.7","-16.88","1.86","-189.24","-4.27"
"Micro Technologies (India) Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-"
"Mindteck (India) Ltd.","Technology","Computer Software","-2.94","2.78","10.86","12.76","79.31","8.85","7.1","41.43","6.67"
"MindTree Ltd.","Technology","Computer Software","17.49","18.54","22.26","22.98","33.43","26.76","22.41","18.7","23.23"
"Moschip Semiconductor Technology Ltd.","Technology","Computer Software","-21.32","52.65","-96.43","-26.98","22.98","-207.2","-25.13","10.52","-187.3"
"Moser Baer India Ltd.","Technology","Computer Hardware","2.11","-28.59","-33.41","-","-","-","-","-","-"
"Mphasis Ltd.","Technology","Computer Software","120.12","122.88","7.1","-","-","-","-","-","-"
"Mro-Tek Ltd.","Technology","Computer Software","-17.11","1.61","-29.83","18.05","6.85","-24.78","-6.17","-232.78","-21.59"
"MYM Technologies Ltd.","Technology","Computer Software","45.62","267.67","7.28","24.36","52.17","3.98","-","-","-"
"Net 4 India Ltd.","Technology","Computer Software","-67.77","74.05","-105.16","-51.83","-228.94","-199.16","-23.25","-242.38","-211.49"
"Netlink Solutions (India) Ltd.","Technology","Computer Software","-28.53","6316.67","17.57","-17.93","118.98","5.7","-11.05","26.31","3.82"
"Nettlinx Ltd.","Technology","Computer Software","26.18","19.6","-2.29","7.73","12.87","-0.11","-3.49","11.84","-1.43"
"Nexus Commodities And Technologies Ltd.","Technology","Computer Software","385.96","207.81","1.04","172.18","1717.03","0.64","42.5","53.36","0.38"
"NHC Foods Ltd.","Technology","Computer Software","3.19","-48.16","-9.11","16.7","-9.75","2.33","15.56","-16.55","-1.36"
"NIIT Ltd.","Technology","Computer Software","0.67","-879.48","8.25","-8.76","-207.92","3.28","-4.41","-214.54","7.66"
"NIIT Technologies Ltd.","Technology","Computer Software","2.93","-50.8","1.93","14.6","-17.33","13.32","21.03","-2.76","17.6"
"Northgate Com Tech Ltd.","Technology","Computer Software","64.33","-9.25","-414.48","-16.99","25.99","25.99","-","-","-"
"Nucleus Software Exports Ltd.","Technology","Computer Software","2","0.58","10.42","7.75","22.34","11.75","3.89","10.99","10.15"
"Odyssey Technologies Ltd.","Technology","Computer Software","32.48","37.9","46.03","32.45","77.84","40.49","25.64","64.95","43.59"
"Omega Interactive Technologies Ltd.","Technology","Computer Software","-","91.48","2.03","-","-24.6","2.04","-","29.47","2.36"
"Omni AXs Software Ltd.","Technology","Computer Software","-28.57","52.75","-0.46","-59.81","25.39","-7.72","-29.34","14.67","-6.71"
"Omnitech Infosolutions Ltd.","Technology","Computer Software","-46.12","-1498.4","-52.45","-5.72","-239.8","-17.84","11.07","-232.38","-1.16"
"OnMobile Global Ltd.","Technology","Computer Software","-2.11","74.38","-10.42","9.91","-174.26","-7.9","13.26","-195.85","-0.99"
"Ontrack Systems Ltd.","Technology","Computer Software","-3.25","-46.97","10.47","39.61","81.27","6.55","24.78","2.22","-7.61"
"Oracle Financial Services Software Ltd.","Technology","Computer Software","4.37","-12.77","-60.98","7.46","9.18","-18.51","6.32","8.84","-4.47"
"Ortel Communications Ltd.","Technology","Computer Software","20.46","131.16","1466.86","9.06","30.5","29.8","16.53","20.42","33.73"
"Palred Technologies Ltd.","Technology","Computer Software","-","-","-","-61.79","26.6","-9.97","-44.42","-27.42","-9.52"
"Pan India Corporation Ltd","Technology","Computer Software","306.2","98.19","-1.46","-19.5","-213.88","-18.35","-50.35","0.67","-11.5"
"Panoramic Universal Ltd.","Technology","Computer Software","14.08","-","-","12.33","-","-","2.61","-","-"
"Parle Software Ltd.","Technology","Computer Software","15.46","287.77","-0.03","-","41.4","0.04","-","-","-"
"PCS Technology Ltd.","Technology","Computer Hardware","0.14","-36.57","3.03","-8.89","24.19","74.09","-12.59","11.45","4.29"
"Pentamedia Graphics Ltd.","Technology","Computer Software","-19.52","-8","-47.96","-13.13","-734.74","-28.82","-21.22","-316.06","-18.4"
"Persistent Systems Ltd.","Technology","Computer Software","13.31","16.59","14.78","23.65","27.03","18.7","25.76","20.37","17.1"
"PFL Infotech Ltd.","Technology","Computer Software","-","-29.28","2.49","-","-8.14","3.07","-","44.41","-11.72"
"Polaris Consulting & Services Ltd.","Technology","Computer Software","-21.88","-16.33","-45.22","-2.6","-8.97","-11.46","6.94","1.63","-0.69"
"Powersoft Global Solutions Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-"
"Prabhav Industries Ltd.","Technology","Computer Software","-83.73","-16.85","-4.25","-","-","-","7.66","-331.52","-1.53"
"Prithvi Information Solutions Ltd.","Technology","Computer Software","20","-52.76","-39.65","-5.3","-3.13","-15.87","7.93","-34.06","-9.84"
"Prithvi Softech Ltd.","Technology","Computer Software","4.98","4.02","12.25","18.64","29.19","11.77","17.41","26.67","9.85"
"Priya Ltd.","Technology","Computer Hardware","-25.42","-61.25","0.89","-11.78","-6.64","3.77","-7.21","-9.89","3.8"
"PVP Ventures Ltd.","Technology","Computer Software","-15.93","-1005.41","-9.5","-","-449.69","-2.52","143.35","14.33","14.53"
"Quest Softech (India) Ltd.","Technology","Computer Software","421.05","132.56","1.51","-22.01","84.91","-3.77","-18.99","15.66","-2.16"
"Quintegra Solutions Ltd.","Technology","Computer Software","-88.5","49.88","81.82","-54.86","25.12","21.2","-49.88","13.66","-180.41"
"R Systems International Ltd","Technology","Computer Software","8.8","47.33","-8.63","16.56","65.98","1.22","14.64","57.79","4.23"
"Ramco Systems Ltd.","Technology","Computer Software","37.03","136.51","57.89","17.37","43.37","-0.1","16.49","34.82","-0.5"
"RAMINFO LTD.","Technology","Computer Software","27.73","58.57","18.78","67.28","44.84","271.69","16.02","16.31","-19.54"
"Ranklin Solutions Ltd","Technology","Computer Software","15.64","-11.51","28.73","54.16","43.68","44.75","43.02","78.56","33.27"
"Redington India Ltd.","Technology","Computer Hardware","12.92","14.75","17.39","14.19","9.6","21.42","18.06","15.58","16.77"
"Religare Technologies Ltd.","Technology","Computer Software","-27.23","9.1","-19.01","-31.58","5.75","-147.9","-30.82","-11.89","-248.04"
"Response Informatics Ltd.","Technology","Computer Software","-9.48","-58.57","0.22","-","-43.31","0.61","-","26.02","0.44"
